"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  "
"BALMLAWRIE","EQ","29-Apr-2026","181.42","182.30","197.94","182.30","184.01","184.85","191.50","16,59,817","31,78,52,170.23","17,161"
"BALMLAWRIE","EQ","28-Apr-2026","183.17","182.70","184.61","180.96","181.50","181.42","182.46","1,34,041","2,44,56,831.16","1,868"
"BALMLAWRIE","EQ","27-Apr-2026","180.51","183.00","184.09","180.67","182.70","183.17","182.53","1,90,013","3,46,82,733.79","3,015"
"BALMLAWRIE","EQ","24-Apr-2026","179.61","179.60","181.79","175.07","180.50","180.51","178.89","2,81,875","5,04,25,847.08","5,034"
"BALMLAWRIE","EQ","23-Apr-2026","178.45","177.70","183.55","176.99","179.65","179.61","181.08","3,40,783","6,17,07,496.69","5,116"
"BALMLAWRIE","EQ","22-Apr-2026","177.71","177.00","180.60","177.00","178.81","178.45","178.38","88,960","1,58,68,496.29","1,700"
"BALMLAWRIE","EQ","21-Apr-2026","177.06","177.90","179.50","177.00","178.40","177.71","178.29","1,27,892","2,28,01,407.19","2,010"
"BALMLAWRIE","EQ","20-Apr-2026","176.25","176.24","180.30","173.32","176.58","177.06","177.60","2,63,631","4,68,21,501.29","4,925"
"BALMLAWRIE","EQ","17-Apr-2026","173.49","173.80","178.20","172.95","176.45","176.25","175.88","2,57,046","4,52,09,604.24","4,728"
"BALMLAWRIE","EQ","16-Apr-2026","172.09","173.90","174.47","171.78","173.40","173.49","173.13","1,27,969","2,21,55,152.58","2,950"
"BALMLAWRIE","EQ","15-Apr-2026","168.12","170.10","172.72","169.51","172.28","172.09","171.73","1,36,622","2,34,62,174.56","2,791"
"BALMLAWRIE","EQ","13-Apr-2026","169.90","166.73","169.28","163.10","167.70","168.12","167.31","1,03,849","1,73,74,580.44","2,321"
"BALMLAWRIE","EQ","10-Apr-2026","167.25","169.00","170.50","167.50","169.00","169.90","169.35","1,82,741","3,09,46,805.69","2,416"
"BALMLAWRIE","EQ","09-Apr-2026","167.56","167.56","169.29","165.11","168.00","167.25","167.35","1,63,355","2,73,37,210.21","3,605"
"BALMLAWRIE","EQ","08-Apr-2026","160.83","165.00","168.35","163.71","167.99","167.56","166.04","2,14,677","3,56,45,755.94","3,990"
"BALMLAWRIE","EQ","07-Apr-2026","160.83","160.83","162.75","159.83","161.25","160.83","161.34","1,55,629","2,51,08,467.81","2,187"
